Episode,Reward,Steps
1,-541.43333616122,200
2,-528.668875299827,200
3,-528.216651201202,200
4,-484.779822606809,200
5,-494.41688631458,200
6,-357.555451080921,200
7,-467.660814692253,200
8,-421.418984557607,200
9,-439.508839087543,200
10,-454.873170110012,200
11,-459.800162657691,200
12,-457.268194792692,200
13,-459.001599061638,200
14,-451.461060447967,200
15,-443.535351530342,200
16,-485.828163009234,200
17,-454.059685132577,200
18,-470.91768393375,200
19,-430.340633309906,200
20,-403.372676817383,200
21,-407.642150333292,200
22,-400.21478125052,200
23,-418.571157141223,200
24,-424.559277749148,200
25,-424.546499850471,200
26,-420.510852353941,200
27,-402.727678004918,200
28,-388.495277448095,200
29,-500.603620748234,200
30,-433.158016919074,200
31,-454.631358254614,200
32,-429.536033018616,200
33,-432.705088573971,200
34,-426.473153768394,200
35,-466.4236773157,200
36,-485.146802823931,200
37,-469.939753184627,200
38,-459.348845414145,200
39,-453.543983645772,200
40,-433.172463033904,200
41,-379.984786303309,200
42,-465.445787659285,200
43,-466.357856085063,200
44,-439.8405190201,200
45,-411.797245313382,200
46,-325.544661751925,200
47,-310.27630288885,200
48,-312.570671212417,200
49,-310.934755291991,200
50,-319.693809264332,200
51,-318.44015208713,200
52,-338.575424997583,200
53,-326.385289455261,200
54,-330.703757476435,200
55,-288.519214195397,200
56,-289.249003102423,200
57,-328.746993841322,200
58,-320.413217522739,200
59,-318.890880664633,200
60,-332.35061206442,200
61,-341.663312218302,200
62,-339.684609526868,200
63,-347.1545544456,200
64,-336.527256197829,200
65,-340.447460447363,200
66,-284.785213203807,200
67,-263.567485036028,200
68,-267.64777737463,200
69,-276.533510810852,200
70,-286.784001265863,200
71,-287.761091047255,200
72,-278.620234565921,200
73,-272.187418734777,200
74,-269.4870297325,200
75,-273.256258211355,200
76,-270.799598642158,200
77,-273.543544977029,200
78,-273.968776048694,200
79,-278.342070218629,200
80,-280.706376400308,200
81,-288.246217123228,200
82,-285.051456707415,200
83,-284.956261156653,200
84,-291.419354890223,200
85,-288.617761114859,200
86,-285.602603976857,200
87,-286.02268363013,200
88,-284.06764156767,200
89,-279.734524883205,200
90,-266.163397169611,200
91,-253.774263338191,200
92,-248.690423623747,200
93,-245.279868778885,200
94,-245.824070510733,200
95,-234.773564367363,200
96,-227.302122447691,200
97,-219.231672573385,200
98,-215.595553068055,200
99,-212.992998509411,200
100,-211.216793701309,200
101,-214.43325805749,200
102,-214.77328106538,200
103,-212.176782389386,200
104,-214.369511653292,200
105,-203.347234326728,200
106,-200.305113171248,200
107,-196.664574643759,200
108,-190.978043279597,200
109,-189.947369047748,200
110,-189.037964438507,200
111,-181.826999785207,200
112,-187.243559882394,200
113,-180.637293917643,200
114,-182.516294805835,200
115,-183.879436963798,200
116,-185.307323812132,200
117,-183.415814716878,200
118,-180.677118603904,200
119,-175.431087923626,200
